UUV,26;
UEH,26;
CMB,7;
PQA,22;
TMH,54;
ETM,15;
XIP,21;
VOQ,20;
LSD,18;
SLZ,66;
WOA,15;
BVQ,57;
CXK,15;
FOE,68;
KVN,21;
NQJ,28;
SHM,31;
DTE,8;
AGP,696;
JEY,33;
IBD,32;
ZLV,22;
VGF,167;
SGN,82;
QTL,30;
RZB,12;
FRL,26;
HRX,39;
FVU,17;
IIE,7;
DGC,103;
OCQ,25;
HAB,63;
UXU,14;
DFT,26;
XVV,108;
ESD,88;
SGE,14;
YRK,36;
ZIS,17;
IRD,22;
ZOY,24;
JNM,18;
CXO,11;
SWM,12;
QUD,50;
GRH,33;
QHZ,35;
WRR,33;
TFX,21;
KOQ,6;
SWA,6;
OAA,8;
DTR,21;
EJX,50;
AAT,80;
HNB,13;
ZUM,89;
UXX,28;
BJK,12;
VPJ,41;
GBC,83;
RPZ,36;
JXO,45;
QLQ,23;
PBG,146;
AWW,13;
JCL,33;
DCK,21;
JKA,20;
SIM,3;
NTJ,215;
HJZ,25;
AOY,54;
GSL,22;
EET,125;
XMM,37;
XAM,25;
GSA,155;
BYJ,19;
YFQ,15;
HNW,13;
PIF,37;
ZGO,26;
TSH,205;
HMZ,20;
JIP,29;
JKL,35;
REC,18;
EPV,68;
RHR,90;
PCW,16;
BWA,22;
ULU,12;
FAD,95;
HIC,20;
XUC,34;
RUB,8;
FSC,23;
ZCI,24;
CPY,13;
TJA,126;
ILX,52;
LGN,41;
UGD,33;
ABT,74;
THC,5;
EMG,15;
DCR,23;
TXH,62;
XCY,19;
COM,22;
SHZ,41;
LOU,52;
KHP,12;
EYD,26;
RLC,48;
WIW,19;
EWL,26;
IFW,13;
JWE,64;
UFQ,19;
CPO,120;
VRC,32;
VEP,67;
KOH,10;
JQB,8;
KSQ,27;
OYO,23;
VFD,22;
JRY,50;
OUU,29;
PRS,27;
ZJB,57;
OUS,109;
CKO,27;
NYZ,15;
KNU,6;
QQP,36;
IPW,18;
HPQ,40;
KUM,33;
VJW,3;
YJY,13;
EAU,48;
HHV,23;
TYU,84;
ONV,14;
BTB,71;
GJL,30;
CDL,31;
IWR,12;
JAA,18;
GKZ,21;
TIP,42;
ODA,31;
MFH,40;
PYW,34;
DYR,23;
MWD,18;
OCE,42;
BUT,10;
LRC,14;
SJA,8;
DTM,58;
QTI,19;
ZVS,14;
TDZ,12;
BCH,38;
QTX,400;
SPR,69;
ORA,9;
OVB,31;
UJH,18;
DZQ,14;
ETR,16;
UBJ,42;
RLX,37;
NRX,28;
JKN,64;
NFP,91;
OCL,19;
PNF,66;
YUK,12;
TWP,47;
EDN,97;
NRJ,17;
ATI,10;
RDC,5;
GOA,6;
DAI,7;
HRA,33;
XUI,33;
TCM,36;
GHG,47;
XQP,12;
RVH,18;
VSI,20;
VEA,13;
ZXL,4;
RRQ,5;
AML,22;
GRX,39;
QGG,26;
AOW,15;
RMD,29;
XBI,18;
LWE,11;
XWZ,44;
TUP,11;
SMI,124;
KBA,13;
BDJ,58;
UCJ,20;
FXA,16;
UMW,63;
HWZ,36;
JOP,42;
GEG,36;
CKW,84;
HAC,52;
LRS,8;
UEE,60;
RXC,23;
WMT,13;
QUZ,31;
YMD,13;
BOT,77;
JUJ,16;
DDF,55;
LGQ,20;
CFD,24;
AYY,35;
VNC,14;
FSF,41;
EWI,32;
NWA,21;
VQO,15;
QTF,30;
RSI,35;
AGZ,7;
GZU,15;
OBY,13;
DQH,73;
MHG,18;
UXF,142;
ULY,32;
KLK,26;
CZL,39;
BAA,3;
ASE,195;
TBE,12;
UUG,54;
IFL,86;
AOZ,16;
XSP,55;
JMG,13;
BAD,12;
BCC,23;
KAT,89;
VVP,29;
VNL,53;
OUE,17;
NWJ,14;
YNE,15;
DUK,18;
EAL,52;
NYG,17;
FYU,9;
UDF,48;
ACN,117;
ROY,31;
LUI,5;
VLK,7;
LES,33;
IHQ,35;
VFP,39;
EDJ,80;
GQW,13;
SMG,19;
QHK,16;
LNF,22;
KQN,32;
XNP,31;
VGP,55;
YCM,29;
KNC,5;
KHC,24;
SEY,95;
XGC,23;
FNT,44;
QRM,13;
LLH,18;
MQW,10;
OGZ,17;
NQS,8;
QWM,16;
UVU,168;
NPA,11;
PYN,59;
GII,59;
QNK,17;
ONQ,14;
IKR,32;
UQN,37;
LCS,8;
YBZ,14;
WNB,10;
HJO,97;
XDV,22;
NQT,32;
UUY,65;
WJG,17;
XVB,9;
PPR,22;
VHJ,52;
ZYR,79;
KYZ,27;
AGK,4;
YKX,14;
XZC,70;
PVO,33;
OQL,41;
OYP,7;
WOP,186;
RQR,23;
HDF,37;
SCJ,23;
TFA,16;
WPV,26;
EOI,26;
JMO,3;
PPP,58;
TWA,30;
UNU,4;
FEX,21;
FIF,30;
XHH,4;
TTC,15;
MQZ,9;
RYU,12;
KBV,39;
HWC,20;
XVP,14;
RYE,40;
SDA,143;
FOS,33;
IWZ,28;
MLO,43;
WTO,80;
NVZ,20;
SHB,20;
ERS,14;
HSB,264;
BUD,48;
KPN,10;
BVS,33;
THR,23;
VHV,21;
WNR,37;
RHY,20;
YCS,13;
VHX,7;
PMN,16;
UMY,13;
VBC,75;
QPL,51;
RDK,13;
OTG,38;
CIW,42;
QYK,72;
LMT,67;
PFV,40;
RCI,20;
YUY,21;
TEX,11;
BZV,56;
LZO,4;
BDV,27;
LSF,23;
LUC,24;
BHW,7;
XMI,37;
LKC,134;
NLQ,6;
ASQ,18;
SOE,9;
OLI,12;
UCL,10;
HVY,18;
LAE,17;
LWU,3;
RXL,6;
CFS,12;
DPI,11;
DEO,34;
SEK,27;
KJW,5;
PUW,13;
ZXV,13;
QSI,31;
TUJ,91;
IHA,4;
GSC,19;
AAP,16;
BSN,29;
FMN,11;
JTY,19;
DGQ,68;
EBN,38;
ZLJ,40;
ZQY,8;
XTP,27;
WAS,64;
VOG,7;
PJH,21;
FKL,26;
SSL,11;
YZC,19;
XSN,36;
OSL,14;
GDW,70;
IOB,6;
GXG,6;
IUJ,9;
SRW,11;
PEQ,20;
XPI,157;
CBA,40;
JIB,40;
KND,102;
LRM,22;
SFR,10;
TEM,25;
ZFN,50;
QPQ,93;
KNA,8;
WSE,11;
UUR,35;
RKJ,4;
SCZ,39;
PLH,63;
NBN,22;
DLG,24;
CSI,38;
KBJ,12;
GBL,31;
VPH,59;
RTS,24;
NDX,82;
UWQ,34;
KAE,4;
NYP,35;
LVX,19;
UZI,27;
FWE,26;
RTG,31;
MMJ,38;
DWY,16;
QON,32;
BNO,16;
SMC,11;
YDS,35;
WYX,47;
XCK,5;
GAR,9;
PSI,19;
HPJ,40;
KSO,16;
RSU,24;
CFE,15;
BYO,35;
